wdid,facility_name,region,county,place_type,year,ml_risk_score,ml_risk_pct,ml_percentile,total_actions_24mo,avg_severity_24mo,total_outstanding,monetary_rate_24mo,escalation_ratio
4A560100001,Camarillo WRP,4,Ventura,Wastewater Treatment Facility,2005,0.18826575641776463,18.8,91.8,4,4.0,0.0,0.25,1.0
4B196800068,Groundwater Treatment Plant,4,Los Angeles,Water Treatment Plant,2009,0.18759101136506984,18.8,91.8,3,4.333333333333333,0.0,0.3333333333333333,1.0
4A562027001,"Halaco - Metal Recycling Plant, Oxnard",4,Ventura,"Service/Commercial Site, NEC",2005,0.18681084046845456,18.7,91.7,4,3.25,0.0,0.25,1.0
5D100319001,Orange Avenue Landfill,5F,Fresno,Land fill,2007,0.18671363838873867,18.7,91.7,5,3.0,0.0,0.0,1.0
5A452015001,SPI Burney Division,5R,Shasta,Saw Mill,2012,0.1856053091719475,18.6,91.6,3,3.6666666666666665,0.0,0.3333333333333333,1.0
2 215015001,Sewerage Agency of Southern Marin (SASM) WWTP,2,Marin,Wastewater Treatment Facility,2010,0.18415056528118282,18.4,91.5,3,5.0,0.0,0.6666666666666666,1.0
5A450100001,Anderson WPCP,5R,Shasta,Wastewater Treatment Facility,2003,0.18228590876117795,18.2,91.5,3,5.666666666666667,0.0,0.6666666666666666,1.0
8 362015001,"Brine Fac,Bloomington-Closing",8,San Bernardino,Facility,2002,0.1817745670946941,18.2,91.4,5,3.125,0.0,0.2,1.0
9 000000278,San Marcos Sanitary Landfill,9,San Diego,Land fill,2004,0.18164874339564993,18.2,91.3,4,4.0,0.0,0.5,1.0
1B82046OSON,Healdsburg City WWTP,1,Sonoma,Wastewater Treatment Facility,2001,0.18162296533223204,18.2,91.3,3,3.0,0.0,0.3333333333333333,1.0
9 000000783,Santa Margarita Water District CS,9,Orange,Collection_System,2009,0.1808444694271502,18.1,91.2,4,3.25,0.0,0.25,1.0
5A170102002,Southeast Regional WW System,5S,Lake,Wastewater Treatment Facility,2010,0.18030680226166046,18.0,91.2,4,3.6666666666666665,0.0,0.25,1.0
9 000000219,Dana Point Shipyard,9,Orange,Boatyard/Shipyard,2002,0.17898428890512266,17.9,91.1,9,2.4375,0.0,0.1111111111111111,1.0
6A091807005,Tahoe Keys Marina,6A,El Dorado,Facility,2017,0.17853040167270975,17.9,91.0,3,2.3333333333333335,0.0,0.3333333333333333,1.0
5B570103001,West Sacramento STP,5S,Yolo,Wastewater Treatment Facility,2003,0.17760951649471848,17.8,91.0,4,4.0,0.0,0.25,1.0
4B190143001,Seaside Lagoon,4,Los Angeles,Outdoor Event Venue,2003,0.17753189879704487,17.8,90.9,3,4.333333333333333,0.0,0.3333333333333333,1.0
6B360101001,Barstow WWTP,6B,San Bernardino,Wastewater Treatment Facility,2009,0.17656639172212488,17.7,90.8,3,3.0,0.0,0.3333333333333333,1.0
4B192047001,Catalina Pacific Concrete Co,4,Los Angeles,Concrete Manufacturing,2009,0.17625706490180834,17.6,90.8,4,5.666666666666667,0.0,0.5,1.0
5B34NP00009,Tsar Nicoulai Sturgeon Farm,5S,Sacramento,Aquaculture/Hatchery,2014,0.17622352151991202,17.6,90.7,6,3.0,0.0,0.0,1.0
9 000000506,"GW Extraction, Mission Valley Terminal, 9950 San Diego Mission Road",9,San Diego,"Service/Commercial Site, NEC",2005,0.17462963809396131,17.5,90.7,6,3.6666666666666665,0.0,0.16666666666666666,1.0
5A480105002,Easterly WWTP,5S,Solano,Wastewater Treatment Facility,2017,0.17322691034591178,17.3,90.6,4,5.0,0.0,0.5,1.0
5B39NC00153,Salvador Dairy (Reeve Rd),5S,San Joaquin,Animal Feeding,2012,0.17234928062963367,17.2,90.5,3,4.333333333333333,0.0,0.3333333333333333,1.0
9 000497N03,Castillo DEL Mar - 401 Cert,9,Orange,Dredge/Fill Site,2005,0.17187650749738068,17.2,90.5,6,4.2,0.0,0.6666666666666666,1.0
3 401057001,Monarch Grove Reclamation,3,San Luis Obispo,Wastewater Treatment Facility,2007,0.1700125242207176,17.0,90.4,4,4.666666666666667,0.0,0.5,1.0
5B50NC00228,S & S 2 Dairy,5S,Stanislaus,Animal Feeding,2012,0.16916928796995495,16.9,90.3,4,4.0,0.0,0.25,1.0
5A452015003,Sierra Pacific Industries Anderson Division,5R,Shasta,Saw Mill,2010,0.16879484387832216,16.9,90.3,5,4.5,0.0,0.4,1.0
3 271027001,Prunedale Shopping Center,3,Monterey,Domestic Site NEC,2008,0.16840718061217946,16.8,90.2,4,3.0,0.0,0.25,1.0
5C500300001,Bonzi Class III LF/Unclass. LF,5S,Stanislaus,Land fill,2011,0.16796116880692497,16.8,90.2,5,3.5,0.0,0.2,1.0
6B362031001,PG&E Hinkley Compressor Station,6B,San Bernardino,Surface Impoundment,2015,0.16742982463625478,16.7,90.1,5,2.5,0.0,0.0,1.0
4B192111003,Redondo Generating Station,4,Los Angeles,Power Plant,2009,0.16731968453163762,16.7,90.0,3,4.333333333333333,0.0,0.3333333333333333,1.0
5A470105001,Mount Shasta WWTP,5R,Siskiyou,Wastewater Treatment Facility,2016,0.1670300813599136,16.7,90.0,3,5.0,18000.0,0.6666666666666666,1.0
4B190106042,"Tank H, J Area, Haynes Plant, Long Beach",4,Los Angeles,Facility,2002,0.16660717860806182,16.7,89.9,3,4.0,0.0,0.3333333333333333,1.0
7A130106011,Imperial City WWTP,7,Imperial,Wastewater Treatment Facility,2012,0.1665391149633343,16.7,89.9,5,3.6,0.0,0.2,1.0
5SSO10912,Sacramento Area Sewer District CS,5S,Sacramento,Collection_System,2016,0.165416238782876,16.5,89.8,6,3.0,0.0,0.0,1.0
6A319811N02,Swiss Mart Chevron,6A,0,Facility,2001,0.1652073882753896,16.5,89.7,3,6.333333333333333,114600.0,1.0,1.0
